mPCR_run_ID,,mPCR_run_name,original_run_order,group,Null_group,Total_raw_reads_flagstat,Supplementary Reads,pp + map in way that makes sense (count),pp + map in way that makes sense (percent),Primary reads that mapped (count),Primary reads that mapped (percent),Total_reads_after_MQ0_flagstat,Percent_tot_wMQover0,Total_reads_after_MQ0_flagstat_onAMPonly,Percent_readsONamp_afterMQ0filter,CUSTOM_AMPLICON_SET,GENOME_SIZE,AMPLICON_TERRITORY,TARGET_TERRITORY,TOTAL_READS,PF_READS,PF_BASES,PF_UNIQUE_READS,PCT_PF_READS,PCT_PF_UQ_READS,PF_UQ_READS_ALIGNED,PF_SELECTED_PAIRS,PF_SELECTED_UNIQUE_PAIRS,PCT_PF_UQ_READS_ALIGNED,PF_BASES_ALIGNED,PF_UQ_BASES_ALIGNED,ON_AMPLICON_BASES,NEAR_AMPLICON_BASES,OFF_AMPLICON_BASES,ON_TARGET_BASES,ON_TARGET_FROM_PAIR_BASES,PCT_AMPLIFIED_BASES,PCT_OFF_AMPLICON,ON_AMPLICON_VS_SELECTED,MEAN_AMPLICON_COVERAGE,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,MAX_TARGET_COVERAGE,FOLD_ENRICHMENT,ZERO_CVG_TARGETS_PCT,PCT_EXC_DUPE,PCT_EXC_MAPQ,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_OFF_TARGET,FOLD_80_BASE_PENALTY,PCT_TARGET_BASES_1X,PCT_TARGET_BASES_2X,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,AT_DROPOUT,GC_DROPOUT,HET_SNP_SENSITIVITY,HET_SNP_Q,SAMPLE,LIBRARY,READ_GROUP
18032FL-152-03-357_S388_L002,18032FL-152-03-357_S388_L002_sorted_MQ1.bam,262_B,322,Pakistan,,135701,4227,2174,1.65%,130998,99.64%,11961,0.088142313,2195,0.183513084,18032FL-152-03-357_S388_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,11721,11721,1769871,11721,1,1,11721,1077,1077,1,869481,869481,113492,2528,753461,23584,23491,0.133436,0.866564,0.978211,12.330726,9.169518,0,1276,34641.0726,0.694444,0,0,0.000145,0,0.997344,,0.213453,0.213453,0.067652,0.051322,0.045879,68.141922,7.404788,0.175818,1,,,
18032FL-152-03-358_S389_L002,18032FL-152-03-358_S389_L002_sorted_MQ1.bam,267_B,323,Pakistan,,59736,20678,16642,42.61%,38993,99.83%,28259,0.473064819,25136,0.889486535,18032FL-152-03-358_S389_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,25954,25954,3919054,25954,1,1,25954,12465,12465,1,1451910,1451910,1267840,28681,155389,236425,235553,0.892976,0.107024,0.977878,137.748805,91.922628,0,14569,231745.298,0.409722,0,0,0.000161,0,0.982526,,0.385303,0.385303,0.207232,0.150078,0.111586,66.071811,7.029276,0.340158,2,,,
18032FL-152-03-359_S390_L002,18032FL-152-03-359_S390_L002_sorted_MQ1.bam,272_B,324,Pakistan,,231678,41806,47430,24.98%,189478,99.79%,65636,0.283307004,50238,0.765403132,18032FL-152-03-359_S390_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,60888,60888,9194088,60888,1,1,60888,24261,24261,1,3670794,3670794,2591923,58943,1019928,546958,543185,0.722151,0.277849,0.977765,281.608322,212.658631,2,23815,187390.798,0.277778,0,0,0.000159,0,0.986155,,0.560264,0.558709,0.255832,0.204121,0.180793,64.662098,5.832395,0.491584,3,,,
18032FL-152-03-35_S66_L002,18032FL-152-03-35_S66_L002_sorted_MQ1.bam,118_A,325,Pakistan,,2927939,1201135,1570570,90.95%,1725374,99.92%,1781222,0.608353521,1623619,0.911519732,18032FL-152-03-35_S66_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,1631142,1631142,246302442,1631142,1,1,1631142,795833,795833,1,91511885,91511885,82887765,1961207,6662913,16737719,16654369,0.927191,0.072809,0.976886,9005.62419,6507.6668,16,522660,240380.429,0.104167,0,0,0.000166,0,0.982092,,0.732893,0.732893,0.592924,0.476283,0.470062,63.193088,6.864763,0.699454,5,,,
18032FL-152-03-360_S391_L002,18032FL-152-03-360_S391_L002_sorted_MQ1.bam,273_B,326,Pakistan,,1707784,708144,877028,87.73%,998447,99.88%,1018930,0.596638685,928132,0.910888874,18032FL-152-03-360_S391_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,933601,933601,140973751,933601,1,1,933601,448225,448225,1,52728224,52728224,47694841,1112117,3921266,9645962,9576245,0.925633,0.074367,0.977214,5181.96882,3750.37403,40,378459,240057.036,0.055556,0,0,0.000163,0,0.982235,937.593507,0.877138,0.877138,0.64619,0.547045,0.515163,63.416191,6.368696,0.832037,8,,,
18032FL-152-03-361_S392_L002,18032FL-152-03-361_S392_L002_sorted_MQ1.bam,274_B,327,Pakistan,,4,0,0,0.00%,4,100.00%,0,0,0,,18032FL-152-03-361_S392_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,,1,,,,,,,0,0,0,0,0,0,0,0,0,,,
18032FL-152-03-362_S393_L002,18032FL-152-03-362_S393_L002_sorted_MQ1.bam,275_B,328,Pakistan,,146425,4975,2048,1.45%,140863,99.59%,12931,0.088311422,2460,0.190240507,18032FL-152-03-362_S393_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,12620,12620,1905620,12620,1,1,12620,1185,1185,1,920063,920063,120631,2562,796870,20508,20280,0.133896,0.866104,0.979203,13.106367,7.973561,0,2032,34795.8572,0.8125,0,0,0.000163,0,0.997163,,0.111975,0.111975,0.032659,0.024106,0.020607,76.16709,10.087555,0.095985,0,,,
18032FL-152-03-363_S394_L002,18032FL-152-03-363_S394_L002_sorted_MQ1.bam,278_B,329,Pakistan,,208893,20331,16954,8.99%,188341,99.88%,27836,0.133254824,23536,0.845523782,18032FL-152-03-363_S394_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,25779,25779,3892629,25779,1,1,25779,11768,11768,1,1486721,1486721,1186742,26052,273927,216114,215803,0.815751,0.184249,0.978519,128.937636,84.025661,2,14934,211842.462,0.354167,0,0,0.00025,0,0.983919,,0.522162,0.522162,0.193624,0.141524,0.128694,64.598771,7.222164,0.450124,3,,,
18032FL-152-03-367_S398_L002,18032FL-152-03-367_S398_L002_sorted_MQ1.bam,279_B,332,Pakistan,,1617553,19285,0,0.00%,1595407,99.82%,101906,0.0630001,26,0.000255137,18032FL-152-03-367_S398_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,101608,101608,15342808,101608,1,1,101608,5,5,1,7829373,7829373,862,91,7828420,102,73,0.000122,0.999878,0.904512,0.093655,0.039658,0,18,29.219075,0.965278,0,0,0.000226,0,0.999771,,0.017496,0.003888,0.000778,0,0,80.832037,11.275272,0.004736,0,,,
18032FL-152-03-368_S399_L002,18032FL-152-03-368_S399_L002_sorted_MQ1.bam,280_B,333,Pakistan,,688528,3218,492,0.07%,683794,99.78%,15079,0.021900344,508,0.033689237,18032FL-152-03-368_S399_L002_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,14916,14916,2252316,14916,1,1,14916,253,253,1,1231688,1231688,24761,505,1206422,4051,4028,0.020513,0.979487,0.980013,2.690243,1.575039,0,501,5335.23615,0.972222,0,0,0.00056,0,0.999027,,0.00972,0.008942,0.00311,0.00311,0.00311,82.143476,12.304682,0.006367,0,,,
